fecha,tipo,concepto,categoria,monto
2024-01-10,gasto,Nomina Operativa,personal,100640.77
2024-06-22,gasto,Servicios publicos,infraestructura,97098.34
2024-11-06,gasto,Nomina Operativa,personal,31862.69
2024-12-03,ingreso,Venta producto B,ventas,885840.39
2024-02-04,gasto,Publicidad online,marketing,22522.47
2024-12-12,gasto,Nomina Operativa,personal,132368.64
2024-11-11,gasto,Servicios publicos,infraestructura,44069.48
2024-12-13,ingreso,Venta producto A,ventas,443784.72
2024-01-25,gasto,Renta oficina,infraestructura,39599.59
2024-11-27,ingreso,Venta producto A,ventas,595746.69
2024-01-25,gasto,Compra inventario,costos,204269.99
2024-03-27,gasto,Compra inventario,costos,151552.06
2024-04-26,gasto,Renta oficina,infraestructura,55898.28
2024-11-12,gasto,Nomina Operativa,personal,246864.3
2024-05-25,ingreso,Venta producto A,ventas,520830.16
2024-06-12,gasto,Nomina Operativa,personal,95069.67
2024-12-14,gasto,Publicidad online,marketing,16197.83
2024-03-22,ingreso,Venta producto B,ventas,142006.07
2024-11-28,gasto,Consultoria externa,servicios,102905.1
2024-03-21,gasto,Renta oficina,infraestructura,65750.35
2024-02-15,gasto,Renta oficina,infraestructura,8421.86
2024-03-30,ingreso,Venta producto A,ventas,695022.35
2024-03-17,ingreso,Venta producto A,ventas,208262.99
2024-02-09,gasto,Publicidad online,marketing,12592.33
2024-11-09,gasto,Compra inventario,costos,253224.89
2024-01-31,gasto,Consultoria externa,servicios,59346.72
2024-10-04,gasto,Renta oficina,infraestructura,88659.95
2024-03-27,ingreso,Venta producto B,ventas,971882.59
2024-12-23,ingreso,Venta producto A,ventas,419401.55
2024-08-14,gasto,Compra inventario,costos,51306.21
2024-03-01,gasto,Renta oficina,infraestructura,64014.5
2024-02-03,gasto,Servicios publicos,infraestructura,70912.37
2024-03-06,ingreso,Venta producto A,ventas,698595.58
2024-10-28,ingreso,Venta producto B,ventas,874599.68
2024-01-18,gasto,Consultoria externa,servicios,80819.6
2024-03-23,gasto,Compra inventario,costos,114531.77
2024-07-09,ingreso,Venta producto A,ventas,135527.81
2024-10-08,gasto,Consultoria externa,servicios,17016.12
2024-07-22,gasto,Renta oficina,infraestructura,28768.28
2024-04-03,ingreso,Venta producto B,ventas,792991.79
2024-02-21,ingreso,Venta producto B,ventas,599389.38
2024-07-16,gasto,Servicios publicos,infraestructura,75040.15
2024-03-29,gasto,Compra inventario,costos,140655.35
2024-07-13,ingreso,Venta producto A,ventas,752398.81
2024-01-11,gasto,Servicios publicos,infraestructura,34676.46
2024-12-10,gasto,Compra inventario,costos,299042.08
2024-01-10,gasto,Compra inventario,costos,245972.64
2024-08-11,gasto,Publicidad online,marketing,11728.78
2024-12-18,gasto,Nomina Operativa,personal,45148.4
2024-01-17,gasto,Nomina Operativa,personal,179396.02
2024-08-30,ingreso,Venta producto A,ventas,691489.89
2024-02-13,gasto,Publicidad online,marketing,63668.73
2024-07-21,gasto,Nomina Operativa,personal,186893.37
2024-08-15,gasto,Servicios publicos,infraestructura,7517.13
2024-12-01,gasto,Consultoria externa,servicios,65810.25
2024-03-13,gasto,Nomina Operativa,personal,238116.88
2024-07-02,gasto,Publicidad online,marketing,19024.21
2024-05-18,gasto,Consultoria externa,servicios,26644.04
2024-07-02,gasto,Servicios publicos,infraestructura,42128.92
2024-07-18,gasto,Servicios publicos,infraestructura,21316.42
2024-12-09,gasto,Servicios publicos,infraestructura,63495.44
2024-10-13,gasto,Renta oficina,infraestructura,97860.9
2024-06-04,gasto,Consultoria externa,servicios,13511.69
2024-07-06,gasto,Compra inventario,costos,169792.55
2024-07-18,gasto,Servicios publicos,infraestructura,35891.0
2024-10-25,gasto,Servicios publicos,infraestructura,15808.97
2024-07-03,gasto,Nomina Operativa,personal,148064.9
2024-08-25,gasto,Nomina Operativa,personal,248564.05
2024-03-28,gasto,Publicidad online,marketing,42451.94
2024-07-23,gasto,Servicios publicos,infraestructura,84707.16
2024-09-15,gasto,Renta oficina,infraestructura,21633.22
2024-11-14,gasto,Renta oficina,infraestructura,80238.2
2024-12-15,gasto,Nomina Operativa,personal,84405.53
2024-09-13,gasto,Servicios publicos,infraestructura,80388.25
2024-10-15,ingreso,Venta producto A,ventas,673722.92
2024-01-19,gasto,Servicios publicos,infraestructura,32833.52
2024-01-18,gasto,Servicios publicos,infraestructura,67718.61
2024-03-10,ingreso,Venta producto A,ventas,402656.97
2024-05-04,gasto,Compra inventario,costos,91493.46
