fecha,tipo,concepto,categoria,monto
2025-01-24,gasto,Publicidad online,marketing,77567.78
2023-06-07,gasto,Servicios publicos,infraestructura,37788.17
2025-03-26,gasto,Publicidad online,marketing,38311.15
2023-09-24,gasto,Publicidad online,marketing,70404.02
2025-01-18,gasto,Nomina Operativa,personal,217025.26
2023-11-16,gasto,Nomina Operativa,personal,237092.55
2023-10-19,gasto,Compra inventario,costos,154210.32
2025-07-25,gasto,Publicidad online,marketing,17679.77
2025-08-26,ingreso,Venta producto A,ventas,211416.56
2023-12-18,gasto,Servicios publicos,infraestructura,50082.37
2023-08-13,gasto,Consultoria externa,servicios,21650.83
2025-06-04,gasto,Nomina Operativa,personal,184776.95
2024-02-16,gasto,Consultoria externa,servicios,31451.64
2025-03-08,gasto,Renta oficina,infraestructura,18002.29
2025-07-13,ingreso,Venta producto B,ventas,773985.62
2025-02-10,gasto,Nomina Operativa,personal,16781.41
2025-03-08,gasto,Servicios publicos,infraestructura,26440.39
2025-09-08,ingreso,Venta producto B,ventas,480131.39
2025-09-21,gasto,Renta oficina,infraestructura,68121.29
2023-07-31,gasto,Publicidad online,marketing,76001.03
2023-11-23,gasto,Renta oficina,infraestructura,42385.61
2023-02-09,gasto,Servicios publicos,infraestructura,6550.91
2025-06-14,gasto,Renta oficina,infraestructura,43365.29
2025-06-03,gasto,Compra inventario,costos,159283.17
2025-07-09,gasto,Consultoria externa,servicios,80025.02
2023-02-08,ingreso,Venta producto A,ventas,394356.21
2024-12-25,ingreso,Venta producto A,ventas,531450.52
2023-08-25,ingreso,Venta producto B,ventas,437529.21
2024-03-30,ingreso,Venta producto B,ventas,859959.5
2025-08-12,gasto,Renta oficina,infraestructura,77484.6
2024-10-15,gasto,Compra inventario,costos,101260.81
2023-04-18,gasto,Publicidad online,marketing,25975.46
2023-05-23,gasto,Consultoria externa,servicios,96161.3
2025-09-29,gasto,Compra inventario,costos,258542.97
2023-09-24,gasto,Compra inventario,costos,82042.5
